record_id,year,month,quarter,department,district,state,scheme,contractor_id,contractor_risk,district_tier,centre_released,state_allocated,district_allocated,contractor_paid,diff_amount,diff_percent,spending_ratio,is_overspend,completion_pct,label_type,label,risk_level
REC00683,2024,9,3,Health,Mumbai,Maharashtra,Ayushman Bharat,C091,low,1,494.05,479.93,470.52,414.54,55.98,11.9,0.881,0,77,normal,0,green
REC04020,2024,6,2,Health,Surat,Gujarat,PM Fasal Bima Yojana,C034,low,1,781.65,759.32,744.43,637.12,107.31,14.42,0.8558,0,78,normal,0,green
REC09193,2024,1,1,Health,Nandurbar,Maharashtra,PM Gram Sadak Yojana,C055,low,3,179.67,174.53,171.11,265.84,94.73,55.36,1.5536,1,31,anomaly_over,2,red
REC02662,2022,1,1,Infrastructure,Vadodara,Gujarat,Ayushman Bharat,C057,high,2,2805.75,2725.58,2672.14,2452.8,219.34,8.21,0.9179,0,63,normal,0,green
REC00535,2023,9,3,Infrastructure,Anand,Gujarat,Sarva Shiksha Abhiyan,C075,low,3,1548.24,1504.0,1474.51,1248.86,225.65,15.3,0.847,0,94,normal,0,green
REC01307,2023,2,1,Education,Palghar,Maharashtra,PM Awas Yojana,C100,low,3,243.42,236.47,231.83,198.03,33.8,14.58,0.8542,0,68,normal,0,green
REC03009,2024,9,3,Education,Ahmedabad,Gujarat,MGNREGA,C052,low,1,394.74,383.46,375.94,333.38,42.56,11.32,0.8868,0,94,normal,0,green
REC09975,2022,4,2,Health,Palghar,Maharashtra,MGNREGA,C048,medium,3,145.72,141.56,138.78,33.98,104.8,75.52,0.2448,0,11,anomaly_under,2,red
REC09869,2024,2,1,Agriculture,Vadodara,Gujarat,PM Awas Yojana,C022,low,2,292.55,284.19,278.62,37.43,241.19,86.57,0.1343,0,18,anomaly_under,2,red
REC07857,2023,11,4,Infrastructure,Vadodara,Gujarat,PM Fasal Bima Yojana,C034,low,2,1256.68,1220.78,1196.84,676.32,520.52,43.49,0.5651,0,68,warning,1,yellow
REC00118,2022,2,1,Infrastructure,Bharuch,Gujarat,MGNREGA,C048,medium,3,506.54,492.07,482.42,406.57,75.85,15.72,0.8428,0,65,normal,0,green
REC02483,2023,6,2,Health,Anand,Gujarat,Jal Jeevan Mission,C065,medium,3,145.94,141.77,138.99,123.26,15.73,11.32,0.8868,0,75,normal,0,green
REC09608,2023,11,4,Housing,Nashik,Maharashtra,Sarva Shiksha Abhiyan,C028,low,2,687.18,667.55,654.46,240.55,413.91,63.24,0.3676,0,24,anomaly_under,2,red
REC05811,2024,4,2,Infrastructure,Rajkot,Gujarat,Jal Jeevan Mission,C035,medium,2,2516.47,2444.57,2396.64,1753.14,643.5,26.85,0.7315,0,81,normal,0,green
REC01771,2023,11,4,Education,Palghar,Maharashtra,Jal Jeevan Mission,C049,low,3,156.1,151.64,148.67,130.47,18.2,12.24,0.8776,0,94,normal,0,green
REC05667,2021,12,4,Infrastructure,Anand,Gujarat,PM Gram Sadak Yojana,C057,high,3,1750.5,1700.48,1667.14,1209.6,457.54,27.44,0.7256,0,75,normal,0,green
REC09349,2024,5,2,Health,Bharuch,Gujarat,Ayushman Bharat,C013,medium,3,270.05,262.33,257.19,100.14,157.05,61.06,0.3894,0,15,anomaly_under,2,red
REC04080,2022,2,1,Sanitation,Bharuch,Gujarat,PM Gram Sadak Yojana,C047,low,3,79.37,77.1,75.59,64.21,11.38,15.05,0.8495,0,65,normal,0,green
REC09834,2021,6,2,Sanitation,Vadodara,Gujarat,PM Awas Yojana,C099,medium,2,151.11,146.79,143.91,68.61,75.3,52.32,0.4768,0,13,anomaly_under,2,red
REC01316,2024,10,4,Health,Nagpur,Maharashtra,Sarva Shiksha Abhiyan,C071,low,2,403.56,392.03,384.34,350.92,33.42,8.7,0.913,0,79,normal,0,green
REC02895,2021,5,2,Infrastructure,Dahanu,Maharashtra,PM Gram Sadak Yojana,C066,low,3,670.96,651.79,639.01,561.56,77.45,12.12,0.8788,0,60,normal,0,green
REC06695,2022,2,1,Agriculture,Surat,Gujarat,Sarva Shiksha Abhiyan,C100,low,1,147.65,143.43,140.62,100.06,40.56,28.84,0.7116,0,88,normal,0,green
REC09429,2022,12,4,Agriculture,Nashik,Maharashtra,PM Awas Yojana,C068,medium,2,128.49,124.82,122.37,56.47,65.9,53.85,0.4615,0,9,anomaly_under,2,red
REC04260,2021,2,1,Infrastructure,Bharuch,Gujarat,PM Awas Yojana,C078,low,3,708.75,688.5,675.0,486.09,188.91,27.99,0.7201,0,64,normal,0,green
REC00549,2022,7,3,Education,Surat,Gujarat,Jal Jeevan Mission,C036,low,1,323.41,314.17,308.01,270.6,37.41,12.15,0.8785,0,60,normal,0,green
REC07110,2021,3,1,Infrastructure,Surat,Gujarat,PM Awas Yojana,C077,low,1,2835.02,2754.02,2700.02,1553.13,1146.89,42.48,0.5752,0,54,warning,1,yellow
REC05062,2022,9,3,Sanitation,Nashik,Maharashtra,PM Fasal Bima Yojana,C019,medium,2,133.42,129.61,127.07,110.03,17.04,13.41,0.8659,0,81,normal,0,green
REC06648,2022,8,3,Health,Anand,Gujarat,PM Gram Sadak Yojana,C045,medium,3,302.24,293.61,287.85,244.45,43.4,15.08,0.8492,0,74,normal,0,green
REC05219,2023,5,2,Agriculture,Surat,Gujarat,MGNREGA,C056,low,1,386.84,375.79,368.42,264.17,104.25,28.3,0.717,0,92,normal,0,green
REC08067,2022,4,2,Housing,Mumbai,Maharashtra,PM Awas Yojana,C019,medium,1,1108.0,1076.34,1055.24,1113.01,57.77,5.47,1.0547,1,57,warning,1,yellow
REC04306,2021,9,3,Agriculture,Dahanu,Maharashtra,Ayushman Bharat,C046,low,3,101.1,98.22,96.29,66.74,29.55,30.69,0.6931,0,78,normal,0,green
REC05980,2024,11,4,Education,Pune,Maharashtra,Ayushman Bharat,C024,low,1,576.73,560.26,549.27,509.5,39.77,7.24,0.9276,0,71,normal,0,green
REC05503,2023,12,4,Infrastructure,Mumbai,Maharashtra,MGNREGA,C042,low,1,662.45,643.52,630.9,549.8,81.1,12.85,0.8715,0,81,normal,0,green
REC06277,2023,11,4,Agriculture,Vadodara,Gujarat,MGNREGA,C055,low,2,216.79,210.6,206.47,149.76,56.71,27.47,0.7253,0,65,normal,0,green
